generation;best score;average score;worst score
0;891,0;946,99;991,0
1;891,0;949,52;991,0
2;891,0;949,07;991,0
3;873,0;949,82;998,0
4;873,0;955,61;1010,0
5;873,0;957,15;1010,0
6;873,0;956,14;1010,0
7;873,0;956,38;1010,0
8;873,0;959,19;1010,0
9;873,0;961,56;1010,0
10;869,0;961,09;1012,0
11;869,0;960,88;1012,0
12;869,0;960,86;1012,0
13;869,0;961,08;1012,0
14;869,0;961,52;1012,0
15;869,0;960,14;1015,0
16;869,0;962,82;1015,0
17;869,0;961,3;1015,0
18;869,0;962,47;1015,0
19;869,0;964,09;1015,0
20;869,0;963,27;1015,0
21;869,0;963,28;1015,0
22;869,0;962,07;1015,0
23;869,0;960,4;1016,0
24;869,0;957,9;1016,0
25;869,0;957,16;1016,0
26;869,0;958,57;1016,0
27;869,0;959,41;1016,0
28;869,0;958,67;1016,0
29;869,0;958,02;1016,0
30;869,0;956,29;1016,0
31;869,0;958,22;1016,0
32;869,0;957,57;1016,0
33;869,0;957,93;1016,0
34;869,0;958,58;1016,0
35;869,0;957,73;1016,0
36;869,0;954,64;1016,0
37;869,0;958,22;1017,0
38;869,0;958,53;1017,0
39;869,0;960,04;1017,0
40;868,0;957,89;1017,0
41;868,0;958,92;1017,0
42;868,0;959,63;1017,0
43;868,0;960,01;1017,0
44;868,0;958,27;1017,0
45;868,0;959,78;1017,0
46;868,0;958,86;1017,0
47;868,0;957,78;1017,0
48;868,0;959,84;1017,0
49;868,0;962,05;1017,0
50;868,0;961,16;1017,0
51;868,0;962,37;1017,0
52;868,0;959,27;1017,0
53;868,0;960,36;1017,0
54;868,0;958,39;1017,0
55;868,0;960,25;1017,0
56;857,0;960,47;1017,0
57;857,0;960,41;1017,0
58;857,0;961,35;1029,0
59;857,0;960,96;1029,0
60;857,0;959,31;1029,0
61;857,0;957,98;1029,0
62;857,0;958,74;1029,0
63;857,0;960,65;1029,0
64;857,0;960,28;1029,0
65;857,0;958,66;1029,0
66;857,0;956,79;1029,0
67;857,0;958,27;1029,0
68;857,0;957,59;1029,0
69;857,0;959,79;1029,0
70;857,0;957,01;1029,0
71;857,0;959,53;1029,0
72;857,0;961,21;1029,0
73;857,0;958,85;1029,0
74;857,0;956,25;1029,0
75;857,0;958,99;1029,0
76;857,0;957,51;1029,0
77;857,0;959,18;1029,0
78;857,0;957,74;1029,0
79;857,0;957,69;1029,0
80;857,0;956,56;1029,0
81;857,0;956,9;1029,0
82;857,0;955,49;1029,0
83;857,0;955,97;1029,0
84;857,0;957,74;1029,0
85;857,0;957,9;1029,0
86;857,0;959,16;1029,0
87;857,0;957,83;1029,0
88;857,0;960,02;1029,0
89;857,0;961,33;1029,0
90;857,0;959,44;1029,0
91;857,0;962,53;1029,0
92;857,0;963,22;1029,0
93;857,0;961,89;1029,0
94;857,0;958,53;1029,0
95;857,0;958,88;1029,0
96;857,0;963,37;1029,0
97;857,0;959,98;1029,0
98;857,0;960,28;1029,0
99;857,0;961,43;1029,0
